TABLE=077 | AREA=Xã Tân Quan
--- SEQUENCE=7 | SECTION=non-agricultural | PAGES=5203-5279 | LINES=2931 ---
P=5210 | X=0090.100-0165.960 | Y=0548.010-0561.970 | Đường số 25
P=5210 | X=0090.100-0334.600 | Y=0562.010-0575.970 | Hết ranh thửa đất số 123, tờ bản đồ số 2
P=5210 | X=0090.100-0124.430 | Y=0576.010-0589.970 | 1.200
P=5210 | X=0090.100-0113.000 | Y=0590.010-0603.970 | 870
P=5210 | X=0090.100-0113.000 | Y=0604.010-0617.970 | 740
P=5210 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 147
P=5210 | X=0090.100-0165.960 | Y=0646.010-0659.970 | Đường số 28
P=5210 | X=0090.100-0170.690 | Y=0660.010-0673.970 | Đường ĐH 04
P=5210 | X=0090.100-0158.330 | Y=0674.010-0687.970 | Đường số 4
P=5210 | X=0090.100-0124.430 | Y=0688.010-0701.970 | 1.200
P=5210 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 870
P=5211 | X=0090.100-0113.000 | Y=0072.010-0085.970 | 740
P=5211 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 148
P=5211 | X=0090.100-0165.960 | Y=0114.010-0127.970 | Đường số 29
P=5211 | X=0090.100-0170.690 | Y=0128.010-0141.970 | Đường ĐH 04
P=5211 | X=0090.100-0331.320 | Y=0142.010-0155.970 | Giáp ranh thửa đất 2567, tờ bản đồ số 5
P=5211 | X=0090.100-0124.430 | Y=0156.010-0169.970 | 1.200
P=5211 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 870
P=5211 | X=0090.100-0113.000 | Y=0184.010-0197.970 | 740
P=5211 | X=0090.100-0113.000 | Y=0212.010-0225.970 | 149
P=5211 | X=0090.100-0165.960 | Y=0226.010-0239.970 | Đường số 30
P=5211 | X=0090.100-0170.690 | Y=0240.010-0253.970 | Đường ĐH 04
P=5211 | X=0090.100-0158.330 | Y=0254.010-0267.970 | Đường số 4
