TABLE=043 | AREA=Xã Định Quán
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5772-5776 | LINES=117 ---
P=5968 | X=0090.100-0223.030 | Y=0506.010-0519.970 | Đường Lý Thường Kiệt
P=5968 | X=0090.100-0229.500 | Y=0520.010-0533.970 | Đường Trần Nhân Tông
P=5968 | X=0090.100-0229.380 | Y=0534.010-0547.970 | Đường Ngô Thời Nhiệm
P=5968 | X=0090.100-0229.380 | Y=0576.010-0589.970 | Đường Ngô Thời Nhiệm
P=5968 | X=0090.100-0321.610 | Y=0590.010-0603.970 | Đường Trần Hưng Đạo (đường số 6 cũ)
P=5968 | X=0090.100-0261.920 | Y=0604.010-0617.970 | Đến đường Nguyễn Văn Linh
P=5968 | X=0090.100-0220.340 | Y=0646.010-0659.970 | Đường Phạm Ngũ Lão
P=5968 | X=0090.100-0321.610 | Y=0660.010-0673.970 | Đường Trần Hưng Đạo (đường số 6 cũ)
P=5968 | X=0090.100-0232.680 | Y=0674.010-0687.970 | Đến đường Nguyễn Trãi
P=5969 | X=0090.100-0243.930 | Y=0072.010-0085.970 | Đường Nguyễn Chí Thanh
P=5969 | X=0090.100-0187.990 | Y=0086.010-0099.970 | Đường Gia Canh
P=5969 | X=0090.100-0198.670 | Y=0100.010-0113.970 | Đường 17 tháng 3
P=5969 | X=0090.100-0373.860 | Y=0142.010-0155.970 | Đường liên xã Phú Lợi - Thị trấn Định Quán (cũ)
P=5969 | X=0090.100-0198.670 | Y=0156.010-0169.970 | Đường 17 tháng 3
P=5969 | X=0090.100-0228.100 | Y=0170.010-0183.970 | Hết ranh xã Định Quán
P=5969 | X=0090.100-0226.760 | Y=0212.010-0225.970 | Đường Lương Thế Vinh
P=5969 | X=0090.100-0229.500 | Y=0226.010-0239.970 | Đường Trần Nhân Tông
P=5969 | X=0090.100-0502.490 | Y=0240.010-0253.970 | Bên trái, hết ranh thửa đất số 243, tờ BĐĐC số 6, xã Định Quán; Bên
P=5969 | X=0090.100-0386.950 | Y=0254.010-0267.970 | phải, đến hết ranh thửa đất số 216, tờ BĐĐC số 7
P=5969 | X=0090.100-0226.760 | Y=0296.010-0309.970 | Đường Lương Thế Vinh
P=5969 | X=0090.100-0502.490 | Y=0310.010-0323.970 | Bên trái, hết ranh thửa đất số 243, tờ BĐĐC số 6, xã Định Quán; Bên
P=5969 | X=0090.100-0386.950 | Y=0324.010-0337.970 | phải, đến hết ranh thửa đất số 216, tờ BĐĐC số 7
P=5969 | X=0090.100-0168.530 | Y=0338.010-0351.970 | Đường Lê Lợi
P=5969 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 44
P=5969 | X=0090.100-0162.420 | Y=0380.010-0393.970 | Xã Phú Vinh
P=5969 | X=0090.100-0154.580 | Y=0450.010-0463.970 | Quốc lộ 20
P=5969 | X=0090.100-0234.570 | Y=0464.010-0477.970 | Giáp ranh xã Định Quán
P=5969 | X=0090.100-0303.220 | Y=0478.010-0491.970 | Đường Ngã ba Phú Lợi - Phú Hòa cũ
P=5969 | X=0090.100-0154.580 | Y=0520.010-0533.970 | Quốc lộ 20
P=5969 | X=0090.100-0303.220 | Y=0534.010-0547.970 | Đường Ngã ba Phú Lợi - Phú Hòa cũ
P=5969 | X=0090.100-0443.820 | Y=0548.010-0561.970 | Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán (Cũ)
P=5969 | X=0090.100-0154.580 | Y=0590.010-0603.970 | Quốc lộ 20
P=5969 | X=0090.100-0443.820 | Y=0604.010-0617.970 | Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán (Cũ)
