TABLE=059 | AREA=Phường Chơn Thành | RECORDS=234 | GROUPS=234 | REVIEW=188
ID=NQ28-059-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=10100,8600 | ROAD=Đường Phước Đường Long | START=D5 Cuối tuyến Ngã ba | END=14.400 đường tổ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=3100,2600 | ROAD=Đường Phú Riềng Đỏ (Gò Đường Mạc cũ) | START=Khu phố nhà ông 02 tháng 4 Văn Hùng) số 69, 34) | END=6 (Hết Đất Nguyễn 4.400 (thửa đất tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=1700,1400 | ROAD=Ngã ba Đường Phú phố 6 (Hết Riềng Đỏ (Gò ông Nguyễn Mạc cũ) Hùng) (thửa 69, tờ bản | START=đường tổ Khu đất nhà Cổng Văn đất số đất số số 35) đồ số 34) | END=Gò Mạc (thửa 96, tờ bản đồ 2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=1700,1400 | ROAD=Đường Phú Cống Gà Riềng Đô (Gò đất số 96, Mạc cũ) nối dài số 35) | START=Ngã ba Mạc (thửa tông (hết tờ bản đồ 48, tờ 193) | END=đường bê thửa đất số 2.400 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=4500,3800 | ROAD=Đường Âu Cơ (Đường tổ 7, khu Đường phố 1) | START=Ngã tư Nguyễn Huệ số 4, tờ 86 | END=hết thửa đất bản đồ số 6.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=3100,2600 | ROAD=Đường Âu Cơ Ngã tư (Đường tế 7, khu số 4, tờ phố 1) | START=hết thửa đất Đường bản đồ số 86 Quân | END=Lạc Long 4.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=3900,3400 | ROAD=Đường Cao Thắng (Đường tổ Đường 3, tổ 4, khu phố (Đường Hiếu Cảm) | START=Hết ranh Nguyễn Huệ 771, tờ Quốc lộ 14) 27) | END=thửa đất số bản đồ số 5.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=2900,2500 | ROAD=Đường Cao Thắng (Đường tổ Hết ranh 3, tổ 4, khu phố 771, tờ Hiếu Cảm) | START=Cầu Suối thửa đất số đất ông bản đồ số 27) Long) | END=Đĩa (Hết Hoàng Văn 4.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=1700,1400 | ROAD=Đường Cao Cầu Suối Thắng (Đường tổ đất ông 3, tổ 4, khu phố Long) Hiếu Cảm) | START=Đĩa (Hết Hết đường Hoàng Văn 110KV | END=điện 2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=1100,960 | ROAD=Đường Cao Thắng (Đường tổ Đầu đường 3, tổ 4, khu phố 110KV Hiếu Cảm) | START=điện Đường | END=Hồ Chí Minh 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
