TABLE=054 | AREA=Xã Tân An | SECTION=agricultural | SEGMENTS=1
P=1812 | X=0119.090-0405.980 | Y=0247.510-0258.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1812 | X=0119.090-0180.210 | Y=0259.030-0270.270 | đến ≤1.000m.
P=1812 | X=0119.090-0342.260 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1812 | X=0119.090-0404.350 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1812 | X=0119.090-0413.420 | Y=0305.860-0317.100 | Đường tỉnh 768 đoạn từ Cầu Chùm Bao đến Cầu Bà Giá (Cầu 19)
P=1812 | X=0119.090-0325.940 | Y=0317.380-0328.620 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1812 | X=0098.930-0110.050 | Y=0325.260-0334.580 | 28
P=1812 | X=0455.690-0472.330 | Y=0325.260-0334.580 | 290
P=1812 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 180
P=1812 | X=0119.090-0404.900 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1812 | X=0119.090-0342.730 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1812 | X=0098.930-0268.270 | Y=0369.960-0381.200 | 29 Đường ấp 3 (cũ) Đường tỉnh 768
P=1812 | X=0309.960-0406.540 | Y=0369.960-0381.200 | Đường Cộ - Cây Xoài
P=1812 | X=0455.690-0472.330 | Y=0371.840-0381.160 | 670
P=1812 | X=0505.390-0522.030 | Y=0371.840-0381.160 | 470
P=1812 | X=0119.090-0409.810 | Y=0387.720-0398.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 3 (cũ)
P=1812 | X=0119.090-0416.620 | Y=0399.240-0410.480 | đoạn từ Đường tỉnh 768 đến Đường Cộ - Cây Xoài có hiện trạng là
P=1812 | X=0119.090-0254.860 | Y=0410.760-0422.000 | đường nhựa, bê tông xi măng:
P=1812 | X=0098.930-0110.050 | Y=0418.640-0427.960 | 30
P=1812 | X=0455.690-0472.330 | Y=0418.640-0427.960 | 450
P=1812 | X=0505.390-0522.030 | Y=0418.640-0427.960 | 300
P=1812 | X=0119.090-0350.170 | Y=0428.280-0439.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1812 | X=0119.090-0396.280 | Y=0445.800-0457.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1812 | X=0119.090-0409.810 | Y=0463.580-0474.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 3 (cũ)
P=1812 | X=0119.090-0416.620 | Y=0475.100-0486.340 | đoạn từ Đường tỉnh 768 đến Đường Cộ - Cây Xoài có hiện trạng là
P=1812 | X=0119.090-0254.860 | Y=0486.620-0497.860 | đường nhựa, bê tông xi măng:
P=1812 | X=0098.930-0350.640 | Y=0504.140-0518.220 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1812 | X=0455.690-0472.330 | Y=0508.900-0518.220 | 350
